%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1622095923940202004,43,1622095923940104479,foot_imu_link,0.852768063545,0.457768619061,0.0245472062379,-0.25026383996,4.98256975355e-05,0.0,0.0,0.0,3.65012446138e-05,0.0,0.0,0.0,4.25271992381e-05,-3.76661682129,4.53286266327,-2.79743003845,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-9.89589309692,8.60511112213,11.9846458435,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923947290434,44,1622095923947082034,foot_imu_link,0.851805210114,0.460116058588,0.0402223467827,-0.247191026807,4.98583368633e-05,0.0,0.0,0.0,3.65333841113e-05,0.0,0.0,0.0,4.2566100668e-05,-3.79983067513,4.55970859528,-2.57724499702,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-10.2693090439,8.20225906372,12.7299747467,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923947411782,45,1622095923947271888,foot_imu_link,0.850823879242,0.461899489164,0.0558246783912,-0.244195148349,4.9890882727e-05,0.0,0.0,0.0,3.65655195451e-05,0.0,0.0,0.0,4.26049939706e-05,-3.76601052284,4.60357236862,-2.37835931778,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-10.7496109009,7.44408798218,12.9404144287,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923956340720,46,1622095923956110553,foot_imu_link,0.849865972996,0.463117659092,0.0712221264839,-0.241199865937,4.99233920176e-05,0.0,0.0,0.0,3.65977078065e-05,0.0,0.0,0.0,4.26439401008e-05,-3.74123001099,4.58642816544,-2.16186618805,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-11.2606639862,7.82562875748,14.7256813049,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923963242339,47,1622095923963031787,foot_imu_link,0.848976492882,0.463847011328,0.0862157121301,-0.238016068935,4.99558484807e-05,0.0,0.0,0.0,3.66299245135e-05,0.0,0.0,0.0,4.26828659127e-05,-3.7541372776,4.46343278885,-1.95031058788,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-10.8957080841,7.81083250046,15.6696996689,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923963367223,48,1622095923963271537,foot_imu_link,0.848045408726,0.4641520679,0.100750297308,-0.235013395548,4.99881870975e-05,0.0,0.0,0.0,3.66621249659e-05,0.0,0.0,0.0,4.27217429606e-05,-3.61891412735,4.38381004333,-1.76398169994,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-11.5600385666,7.64245510101,15.7070608139,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923972078480,49,1622095923971934491,foot_imu_link,0.847164094448,0.463934034109,0.114952757955,-0.232086494565,5.00204850778e-05,0.0,0.0,0.0,3.66943782459e-05,0.0,0.0,0.0,4.2760603754e-05,-3.55444955826,4.32843255997,-1.54277479649,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-11.5456237793,7.74419784546,16.191242218,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923972302855,50,1622095923972164110,foot_imu_link,0.846326708794,0.463246673346,0.128703609109,-0.229279398918,5.00527221031e-05,0.0,0.0,0.0,3.67266802898e-05,0.0,0.0,0.0,4.27994523563e-05,-3.45821976662,4.24319791794,-1.32828044891,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-12.7343902588,6.91677761078,16.4796867371,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923981228822,51,1622095923980938742,foot_imu_link,0.84553527832,0.462218850851,0.142091199756,-0.226349368691,5.00848981736e-05,0.0,0.0,0.0,3.67590067157e-05,0.0,0.0,0.0,4.28382440674e-05,-3.45313382149,4.12409543991,-1.17768597603,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-13.2780923843,7.19710922241,17.5078392029,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923988231688,52,1622095923987906256,foot_imu_link,0.844853162766,0.460687816143,0.154954567552,-0.223559811711,5.01170092254e-05,0.0,0.0,0.0,3.67913737782e-05,0.0,0.0,0.0,4.28769910781e-05,-3.34780502319,4.01304578781,-0.931754529476,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-12.6527786255,7.04366111755,17.8856964111,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
